Freq,Vmod,IHr1,IHi1,VHr1,VHi1,IHr2,IHi2,VHr2,VHi2,IHr3,IHi3,VHr3,VHi3,IHr4,IHi4,VHr4,VHi4,IHr5,IHi5,VHr5,VHi5,IHr6,IHi6,VHr6,VHi6,IHr7,IHi7,VHr7,VHi7,IHr8,IHi8,VHr8,VHi8,IHr9,IHi9,VHr9,VHi9,IHr10,IHi10,VHr10,VHi10,Modulation,File Number,Rank,theta,Re{I1} Rot,Im{I1} Rot,Re{I2} Rot,Im{I2} Rot,Re{A1} Rot,Im{A1} Rot,Re{A2} Rot,Im{A2} Rot
597246.1,0.0012304,0.00026900900172811094,1.4091048087983646e-05,0.0012304489978513847,5.421010862427522e-20,-2.7043876700154023e-07,1.262822740887435e-07,-7.468429343135271e-07,-1.8970358039386556e-07,2.987243535067764e-07,-2.934517583156138e-07,3.1042582667878976e-07,-5.951459886381954e-08,-1.1358073333915631e-07,6.801375312090587e-08,8.040964574531197e-07,5.219176564387507e-07,7.189041778174812e-08,6.153516146608516e-08,8.962737111920943e-07,-2.690540672142697e-06,-7.3408460963648406e-09,-6.459008687556101e-08,-7.440933664826844e-07,9.304017405102896e-07,1.271322733737934e-08,2.2994306503752638e-08,4.20822808560429e-07,-1.3440707990207168e-06,2.079777824651137e-08,4.3001316731272274e-08,-6.660527151891306e-07,-1.0761223379083132e-06,-3.598465032988805e-08,-5.5484906442940686e-08,1.3501196285055707e-06,1.625265942506304e-06,-1.2296059639239177e-08,5.7019317676693405e-08,-6.735123405920609e-07,1.4457255687264688e-06,1mV,1,69,-1.323269641029444,0.00026900900172811094,1.4091048087983646e-05,-2.7043876700154023e-07,1.262822740887435e-07,0.21862669821980074,0.01145195624734506,-0.17862478268069662,0.08340943133126141
474433.6,0.0012397,0.0002729026937345327,1.7565891652717456e-05,0.0012397244820081127,-2.710505431213761e-20,-2.972579434622638e-07,1.3844036063658472e-07,-3.1898233255401433e-06,3.7562789830762795e-07,2.0366353633720048e-07,-3.193942718868542e-08,-3.942609999653981e-06,-2.222018211522376e-07,-3.4672496278541154e-08,1.7477862299189016e-08,-2.902538915122781e-07,1.9736339054183217e-06,-8.077780067676193e-08,8.664478857728783e-08,-2.339684086252754e-06,5.540567484580857e-07,1.4226942708765147e-07,6.174280341214753e-08,1.1889211296605193e-06,-8.638655152998921e-08,-2.1025809599192448e-08,-8.77789336462098e-08,-5.792696322709323e-07,-9.891270800404386e-07,1.3183639478457474e-08,1.3476281158111605e-08,1.360671146738816e-06,5.658879237391073e-07,-1.4778567490602612e-08,-1.70743418901671e-08,-1.7986826103770242e-06,9.273497475495631e-07,-6.356541823994718e-09,6.733750901111529e-08,1.1560061030825241e-06,1.4265921730342448e-06,1mV,1,68,1.530953173387772,0.0002729026937345327,1.7565891652717456e-05,-2.972579434622638e-07,1.3844036063658472e-07,0.22013172902134143,0.014169189935060517,-0.19341186533117885,0.0900766791156991
376816.4,0.0012484,0.00027606409249662236,1.9902658207960765e-05,0.0012483589782741563,-2.168404344971009e-19,-3.734658274072688e-07,3.8564698712676625e-08,-4.367572952378714e-07,-2.2105186548092336e-06,7.91836328022353e-08,2.6793413463180024e-07,-2.4671193271511454e-06,8.805337856755773e-08,2.3106531004426262e-08,-8.076443179935939e-08,-1.2326113043283304e-08,3.9047717806144093e-07,-8.00828397769437e-08,1.8098426411177855e-09,9.868368457714136e-08,-5.647839457958338e-07,1.6900587474103423e-08,8.103271729261654e-09,2.917655333698934e-06,-2.2240785489035785e-06,-5.902246030206577e-08,-2.2608061990613935e-08,-1.929038007625143e-07,-4.845630361039073e-07,5.776665819212382e-09,-8.330393847804887e-08,-6.52787514862401e-07,4.030439375063169e-07,-2.959485294422531e-08,2.124276678636515e-08,-2.8880259794350052e-06,-6.062544577148324e-07,-5.851746497541909e-09,-1.2689661822431285e-07,4.506502711341382e-07,-1.3184722804919355e-06,1mV,1,67,2.72951587299442,0.00027606409249662236,1.9902658207960765e-05,-3.734658274072688e-07,3.8564698712676625e-08,0.22114159252355295,0.01594305688855303,-0.23964694185264954,0.02474633937493649
299355.5,0.0012592,0.0002779564279558913,2.3201302807099826e-05,0.0012592037612771617,0.0,-1.7516878451398857e-07,1.7762004038346874e-08,-7.813063344173648e-07,-1.6540720317495584e-06,1.8493953797960472e-07,4.423135564533468e-07,-4.6113666181349555e-06,1.5871170376741574e-06,-7.060554186387839e-08,-9.343114374508368e-08,-3.4049900901971315e-06,-8.168274214548518e-07,-7.621317593481974e-08,-1.315221525972417e-07,4.289727596121718e-08,-9.267918449087556e-07,-7.213594928247276e-08,4.718232120897025e-08,8.069919223507624e-07,2.9192193185574027e-06,-1.5652013822075744e-08,6.578373436611859e-08,2.4234407185762206e-07,4.6350909799542254e-07,3.861426524055337e-08,-1.0733063977149666e-08,-9.631708428547486e-07,5.928412402104058e-07,9.420128409095584e-08,6.734241473119243e-08,4.6759882989925996e-07,1.1888065490041785e-06,4.4931799274080956e-08,6.196607164701375e-08,1.3332092974354977e-06,1.1693098970106995e-06,1mV,1,66,-0.4805547744239136,0.0002779564279558913,2.3201302807099826e-05,-1.7516878451398857e-07,1.7762004038346874e-08,0.22073983298300415,0.018425376035700245,-0.11047517340187434,0.011202112759676435
237832,0.0012648,0.00027844050935607535,2.7300204912235278e-05,0.0012648353672369298,-1.0842021724855044e-19,-1.097447791635599e-07,1.175488046294757e-07,3.771435536220828e-07,1.1544427249117505e-07,-1.3629449715448496e-07,7.765685584387405e-07,-2.170792387733789e-06,3.4192235615455763e-07,9.683348532489734e-08,-1.6045720406209516e-08,1.1690787862443121e-06,7.57577102042645e-08,8.7027549739729e-08,-2.2876136044111965e-07,3.2970881512639314e-07,1.021746417764354e-06,-8.67432956313898e-08,-8.76130586031083e-08,2.2921091522223763e-07,-5.789948667549902e-07,-1.266482904281096e-09,-2.6545206947124445e-08,-2.615810006354107e-07,-5.711038084801185e-07,3.7456540534150334e-08,1.607119233928681e-08,6.045391641361641e-07,8.535963640115759e-07,8.494126690652393e-08,1.0183015725304665e-09,-3.394970761470476e-07,7.870718832874924e-07,4.161888854615055e-09,-8.354680777910928e-08,-4.931701600314472e-07,2.586023287296939e-07,1mV,1,65,-0.8291777243439669,0.00027844050935607535,2.7300204912235278e-05,-1.097447791635599e-07,1.175488046294757e-07,0.2201397245590443,0.021583998692156596,-0.06859869711739262,0.07347679686220976
188847.7,0.0012763,0.0002789981409176109,3.288911379419237e-05,0.0012762736949246778,-5.421010862427522e-20,-2.897674210900193e-07,6.75168139768931e-08,-3.4170094009916637e-06,-9.350351260089547e-07,-7.801946221402418e-07,7.712331477237912e-07,-4.703832747707836e-06,3.8306268756821304e-07,-1.8198856654772506e-09,1.524049458617024e-07,2.608733791784976e-07,4.956189320596969e-07,2.1254191606726253e-07,-4.332568515426068e-08,4.878866548846748e-07,1.694013748671161e-06,-9.057670826565983e-08,-6.581558357435862e-08,8.915103186151796e-07,-5.368662520738364e-07,-1.2131618044513942e-07,-9.653813444341151e-08,3.899239338120976e-07,3.0704438713161135e-07,-5.0276291359362837e-08,6.258422134139591e-08,-1.1601314872591445e-06,-4.886796746982135e-07,-2.6934369273641944e-08,4.022985857604697e-09,9.79477717817728e-07,-1.5387897106483583e-06,-8.918435054974447e-09,4.093665351180282e-08,1.6711324412351518e-06,1.8399811519845459e-06,1mV,1,64,-1.32785994687885,0.0002789981409176109,3.288911379419237e-05,-2.897674210900193e-07,6.75168139768931e-08,0.21860369137677527,0.02576964010539558,-0.17789425348559335,0.0414499779684127
150058.6,0.0012927,0.0002802074502079717,3.932254896341662e-05,0.0012927000662566893,-1.3552527156068805e-19,-1.9398646818651708e-07,-2.0192488767275977e-07,-3.7521653745500215e-07,-1.4576875512610578e-06,-1.3655790572699848e-06,-1.0846862815268194e-07,-3.875726074151491e-06,-5.516684883621142e-06,-6.610342613373735e-08,3.035986727301697e-07,2.54617065262963e-07,1.5299569788753247e-06,4.83929481504261e-08,2.7746239141024753e-07,-7.996875664610227e-07,4.3490042165318406e-07,5.617131599832978e-08,-1.979828266899408e-08,-6.087674694460722e-07,5.947682737639689e-07,1.4523255048699802e-07,-2.2697861656261568e-08,2.904833842540618e-07,2.2073334735894704e-06,-6.918486553272449e-08,-3.624701479101545e-08,-1.0737918049827159e-06,-1.7153687528867042e-06,-6.745812298713065e-08,-8.396012603866433e-08,1.4447610255659193e-06,5.07071160014458e-07,-5.2352296123407485e-08,9.995355054972759e-08,-3.036100801719897e-07,-6.301082446273998e-08,1mV,1,63,1.4154213806923412,0.0002802074502079717,3.932254896341662e-05,-1.9398646818651708e-07,-2.0192488767275977e-07,0.21676137993817612,0.030418927011649458,-0.1160849434085327,-0.1208354344372556
119238.3,0.0013184,0.00028296875583549806,4.705937447562648e-05,0.0013183621884993127,-2.710505431213761e-19,-2.73718403500666e-07,-4.865618314230302e-07,-2.42007712172008e-06,-1.1476178692209263e-06,-2.909244071654944e-07,-1.7077817615824133e-06,2.4676728722114257e-06,-4.675351029189406e-06,-4.09287096215249e-07,2.5200200184104616e-07,-9.530462544532504e-07,3.469606447614161e-06,-4.7513591234385196e-07,-2.9052161679787255e-07,1.715136099340448e-06,-6.522600482206916e-07,-1.2448271132884847e-07,-2.713995397694453e-07,-2.2225619664474837e-06,-1.6214895359103375e-06,-2.41749177126259e-07,-3.768899760071114e-08,1.1259370734668373e-06,-6.33704823939395e-07,-6.056984274092206e-08,9.971928731609713e-08,-1.4921877756646872e-06,-1.9449926106279056e-06,-9.830875069481895e-08,1.3976796025597238e-07,1.9647392156618966e-06,5.636500916068411e-07,4.789886267350864e-08,6.350848323149918e-08,7.218019460144318e-07,-5.666700091997841e-07,1mV,1,62,2.9005006834445126,0.00028296875583549806,4.705937447562648e-05,-2.73718403500666e-07,-4.865618314230302e-07,0.21463658340929853,0.035695330832564355,-0.15748330515364364,-0.2799423217223405
94746.09,0.0013152,0.0002786535001465008,5.7114199464060675e-05,0.0013152003708924748,1.0842021724855044e-19,-1.0135558530870592e-07,-3.721230391270672e-08,1.0446045201105982e-06,4.411273268906685e-07,6.153570084200639e-07,4.616073854405422e-07,-1.6788179673206235e-07,2.6816471402473935e-06,1.2723810866828746e-07,1.550448640363111e-07,-1.061087527174754e-06,1.5773374725116415e-06,-8.773474214348251e-08,3.4075590884279325e-07,9.608112642098128e-08,2.1322115703635532e-06,-9.319384895077492e-08,-1.0701348325733347e-07,-1.8129189244753389e-06,4.95197639947786e-07,-3.789382612566495e-08,3.086036840188854e-08,-1.9443709212730362e-06,-2.5842151555303496e-07,5.7271442413832775e-08,-7.600923909880191e-09,2.067101197782634e-06,6.371248229256971e-07,-1.0147649192047394e-07,-3.208866732163345e-08,1.592205386123777e-06,3.832652424802998e-08,5.436967223853231e-08,7.016918612378179e-09,1.0532329802953206e-07,-1.4845988571811834e-07,1mV,1,61,0.9598797286767832,0.0002786535001465008,5.7114199464060675e-05,-1.0135558530870592e-07,-3.721230391270672e-08,0.21187151882979685,0.04342623430474235,-0.05859544281195731,-0.021513086024583288
75292.97,0.0013018,0.00026757215995525845,6.826762995655722e-05,0.0013018049673637672,1.0842021724855044e-19,-6.996720723958518e-08,-1.7338070986802137e-08,8.166745672438975e-07,8.005170049665086e-08,-2.1457760495321096e-07,8.924773664774584e-08,7.430104478478393e-07,1.1710503400688337e-06,6.995422741211893e-08,-7.625241041021193e-08,5.095481164644236e-07,-6.913768897170461e-07,1.0110912830401472e-08,3.025432990886286e-08,-1.223423683898291e-06,2.257722385602636e-06,-1.671725735385215e-08,1.6817556620912585e-08,-9.337944163855713e-07,-1.3879246779543551e-06,-6.238416727824258e-08,4.13344815323745e-09,-1.7050188549478548e-06,-2.578004116184899e-08,-6.984833639332006e-08,-7.678946968830994e-08,-2.4804598490588092e-06,1.1129721198894892e-06,-8.446718240364477e-09,5.6585237744651856e-08,1.336322796956353e-06,-3.627764345540622e-07,-5.3540441968569245e-08,-1.434409268370173e-09,-1.2394355506584258e-06,-1.6228724499907853e-06,1mV,1,60,-1.4493651958699743,0.00026757215995525845,6.826762995655722e-05,-6.996720723958518e-08,-1.7338070986802137e-08,0.2055393600910189,0.05244075085594674,-0.04128598881151654,-0.010230784291893311
